Key,Id,Korean(ko)
chap2d0t0,,학교생활의 첫날. Player은(는) 연금술 교실을 향하고 있었다.
chap2d0t1,,어? 엘리나 아닌가?
chap2d0t2,,엘리나를 발견한 Player. 반갑게 인사한다.
chap2d0t3,,엘리나!
chap2d0t4,,...
chap2d0t5,,엘리나는 교실로 들어가버렸다.
chap2d0t6,,어.. 못 들었나?
chap2d1t0,,자, 모두들 조용히. 나는 여러분의 연금술 담당 교수, 아르베르토다. 오늘은 연금술의 기본 원리를 배워보겠다.
chap2d1t1,,조별로 수업을 진행 할 것이다. 해당되는 조원끼리 모이도록.
chap2d1t2,,아르베르토 교수는 조를 발표했다.
chap2d1t3,,... E조, Player, 엘리나, 세실리아. F조, 코코, 소피아, 나타니엘. ...
chap2d1t4,,동아리 대전이다! 누가 더 잘하나 보자고~
chap2d1t5,,흥. 엘리나랑 내가 있는데, 누가 이길 수 있겠어?
chap2d1t6,,Player은(는) 작게 중얼거린다.
chap2d1t7,,나는..?
chap2d1t8,,이번 시간에는 '기본 회복 물약'을 만들 것이다.
chap2d1t9,,재료는 주변 숲에서 직접 채집해야 하며, 제작은 교실에서 이루어진다.
chap2d1t10,,잘 협력해 보도록.
chap2d2t0,,Player, 엘리나, 세실리아는 재료를 구하기 위해 학교 뒤편에 있는 작은 숲으로 향했다.
chap2d2t1,,숲이 이렇게 어두워도 되는 거야?
chap2d2t2,,이 숲은 학교의 보호막 안에 있으니까 위험하진 않을거야.
chap2d2t3,,필요한 재료들을 채집하던 중, 그림자 속에서 작은 괴물 무리가 튀어나왔다.
chap2d2t4,,조심해!
chap2d2t5,,주인공은 바람 마법으로 괴물들의 움직임을 묶었다.
chap2d2t6,,세실리아는 강렬한 불꽃 마법으로 공격했다.
chap2d2t7,,뭐, 뭐야 이것들은!
chap2d2t8,,엘리나는 얼음벽을 세워 적들이 오지 못하게 막았다.
chap2d2t9,,이 틈에 돌아가자.
chap2d2t10,,셋은 빠르게 학교 정문으로 향했다.
chap2d3t0,,휴, 다행히 재료는 들고 나왔네. 다들 괜찮을까?
chap2d3t1,,엘리나가 뒤를 돌아본다.
chap2d3t2,,보호막이.. 다시 강해졌어.
chap2d3t3,,누군가 일부러 보호막을 약화시켰던 것 같아.
chap2d3t4,,누구야? 누가 감히!
chap2d3t5,,일단 진정하고, 교실로 돌아가보자. 다들 괜찮은지 확인해야겠어.
chap2d4t0,,교실엔 모든 학생들이 물약 제조를 하고 있었다.
chap2d4t1,,우리가 제일 늦게 나온건가?
chap2d4t2,,우리가 마지막이라고? 다들 어떻게 빨리 나온거야?
chap2d4t3,,일단 늦기 전에 물약 제조부터 하자.
chap2d4t4,,아르베르토 교수는 돌아다니며 말하고 있었다.
chap2d4t5,,연금술은 단순히 재료를 섞는 게 아니다. 올바른 순서와 조합을 찾아야 해.
chap2d4t6,,헷갈리지 않게 재료를 정렬하고, 순회 방식을 적용하면 빼먹지 않고 순서대로 넣겠군.
chap2d4t7,,주인공의 효율적인 방식 덕분에 마지막에 들어왔지만 제일 처음으로 물약을 제출하였다.
chap2d4t8,,그럼 오늘 수업은 여기까지다.
chap2d4t9,,어이~ 숲에서 뭘 했길래 이렇게 늦어?
chap2d4t10,,흥, 제출은 우리가 1등인 거 못 봤어?
chap2d4t11,,혹시.. 코코. 너네는 괴물을 보지 못했니?
chap2d4t12,,응? 여기 괴물이 어딨어?
chap2d4t13,,소피아가 걱정스러운 눈으로 주인공을 보며 말한다.
chap2d4t14,,괴물이라고..? 다친 덴 없는 거야?
chap2d4t15,,아, 응.. 엘리나 덕분에.
chap2d4t16,,...
chap2d4t17,,내가 아니라도 해치웠을 거야.
chap2d4t18,,그때, Player은(는) 교실 구석에서 이상한 흔적을 발견한다.
chap2d4t19,,이건.. 숲에서 본 괴물의 발톱 자국?
chap2d4t20,,뭐? 여기까지 따라온 거야?
chap2d4t21,,코코가 킁킁거리며 말한다.
chap2d4t22,,이상한 냄새는 안 나는데?
chap2d4t23,,네가 개냐.
chap2d4t24,,헤헤. 내가 좀 잘 맡아.
chap2d4t25,,지금 여기 없다면.. 여기서 출발했다는 거지.
